         ps       /tb_fpadd_single_cycle/ADD_SUB      /tb_fpadd_single_cycle/FP_A      /tb_fpadd_single_cycle/FP_B        /tb_fpadd_single_cycle/FP_Z        
          delta                                                                           /tb_fpadd_single_cycle/clk                                         
          0  +0                                U UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 0 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 
          0  +1                                1 00000000000000000000000000000000 00000000000000000000000000000000 0 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 
          0  +2                                1 00000000000000000000000000000000 00000000000000000000000000000000 0 0UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 
          0  +4                                1 00000000000000000000000000000000 00000000000000000000000000000000 0 0UUUUUUUUXXXXXXXXXXXXXXXXXXXXXXX 
          0  +6                                1 00000000000000000000000000000000 00000000000000000000000000000000 0 0XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX 
          0  +7                                1 00000000000000000000000000000000 00000000000000000000000000000000 0 00000000000000000000000000000000 
       5000  +0                                1 00000000000000000000000000000000 00000000000000000000000000000000 1 00000000000000000000000000000000 
      10000  +0                                1 00000000000000000000000000000000 00000000000000000000000000000000 0 00000000000000000000000000000000 
      15000  +0                                1 00000000000000000000000000000000 00000000000000000000000000000000 1 00000000000000000000000000000000 
      20000  +0                                1 00000000000000000000000000000000 00000000000000000000000000000000 0 00000000000000000000000000000000 
      20000  +1                                0 00000000000000000000000000000000 00000000000000000000000000000000 0 00000000000000000000000000000000 
      25000  +0                                0 00000000000000000000000000000000 00000000000000000000000000000000 1 00000000000000000000000000000000 
      30000  +0                                0 00000000000000000000000000000000 00000000000000000000000000000000 0 00000000000000000000000000000000 
      35000  +0                                0 00000000000000000000000000000000 00000000000000000000000000000000 1 00000000000000000000000000000000 
      40000  +0                                0 00000000000000000000000000000000 00000000000000000000000000000000 0 00000000000000000000000000000000 
      40000  +1                                1 01000011111110100000000000000000 11000011011110100000000000000000 0 00000000000000000000000000000000 
      40000 +15                                1 01000011111110100000000000000000 11000011011110100000000000000000 0 01000011100000000000000000000000 
      40000 +16                                1 01000011111110100000000000000000 11000011011110100000000000000000 0 00000000000000000000000000000000 
      40000 +17                                1 01000011111110100000000000000000 11000011011110100000000000000000 0 00000000100000000000000000000000 
      40000 +18                                1 01000011111110100000000000000000 11000011011110100000000000000000 0 00000000101000000000000000000000 
      45000  +0                                1 01000011111110100000000000000000 11000011011110100000000000000000 1 00000000101000000000000000000000 
      50000  +0                                1 01000011111110100000000000000000 11000011011110100000000000000000 0 00000000101000000000000000000000 
      55000  +0                                1 01000011111110100000000000000000 11000011011110100000000000000000 1 00000000101000000000000000000000 
      60000  +0                                1 01000011111110100000000000000000 11000011011110100000000000000000 0 00000000101000000000000000000000 
      60000  +1                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 00000000101000000000000000000000 
      60000 +11                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001000000000000000000000 
      60000 +12                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
      65000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
      70000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
      75000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
      80000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
      85000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
      90000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
      95000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     100000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     105000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     110000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     115000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     120000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     125000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     130000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     135000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     140000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     145000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     150000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     155000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     160000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     165000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     170000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     175000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     180000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     185000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     190000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
     195000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 1 01000100001110111000000000000000 
     200000  +0                                0 01000011111110100000000000000000 11000011011110100000000000000000 0 01000100001110111000000000000000 
